SINE/Alu	SINE/Alu
LINE/L1	LINE/L1
Simple_repeat	Simple_repeat
SINE/MIR	other_TE
LINE/L2	other_TE
LTR/ERVL-MaLR	ERV
DNA/hAT-Charlie	other_TE
LTR/ERV1	ERV
LTR/ERVL	ERV
DNA/TcMar-Tigger	other_TE
Low_complexity	other_repeat
DNA/hAT-Tip100	other_TE
LINE/CR1	other_TE
Satellite	other_repeat
Retroposon/SVA	SVA
LTR/Gypsy	other_TE
DNA/hAT-Blackjack	other_TE
DNA/TcMar-Mariner	other_TE
LTR	other_TE
LINE/RTE-X	other_TE
LTR/ERVK	ERV
DNA/TcMar-Tc2	other_TE
DNA	other_TE
LINE/RTE-BovB	other_TE
snRNA	other_repeat
Unknown	other_repeat
SINE/tRNA-RTE	other_repeat
DNA/hAT-Ac	other_TE
DNA/MULE-MuDR	other_TE
Satellite/centr	other_repeat
DNA/hAT	other_TE
DNA/PiggyBac	other_TE
srpRNA	other_repeat
RC/Helitron	other_repeat
rRNA	other_repeat
DNA/hAT-Tag1	other_TE
SINE/5S-Deu-L2	other_TE
tRNA	other_repeat
scRNA	other_repeat
SINE/tRNA	other_TE
DNA/TcMar-Tc1	other_TE
LINE/Penelope	other_TE
Satellite/acro	other_repeat
LINE/Dong-R4	other_TE
SINE/tRNA-Deu	other_TE
DNA/PIF-Harbinger	other_TE
DNA/Kolobok	other_TE
DNA/Crypton	other_TE
DNA/TcMar	other_TE
DNA/Merlin	other_TE
Satellite/subtelo	other_repeat
LINE/L1-Tx1	LINE/L1
DNA/hAT-Tip100?	other_TE
DNA/Crypton-A	other_TE
LINE/I-Jockey	other_TE
DNA?/hAT-Tip100?	other_TE
DNA/hAT?	other_TE
DNA/TcMar-Pogo	other_TE
DNA?	other_TE
DNA/hAT-hAT19	other_TE
